id,titulo,autor,tematica,idioma,num_palabras,fuente,recolector,hash_texto,texto
evelyne_rojas_0001,La noche amable de Los fantasmas,Lord Dunsany,fantasmas_y_misterio,es,305,Ciudad Seva,evelyne_rojas,61850be93c8bdc210a21a520cfd82dfb9495f962,"Aquella tarde empezó tranquila, con olor a pan dulce y lluvia suave. Diego y Bruno llegaron a el corredor de los espejos para resolver por qué la puerta suspiraba cuando llovía. En una mesa encontraron un botón de nácar, cubierto por polvo plateado, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada Los fantasmas, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un toc toc detrás de una cortina y apareció el fantasma de las cosquillas. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un gato en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Diego levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. el fantasma de las cosquillas sonrió tanto que por un momento iluminó todo el corredor de los espejos. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Bruno escribió el caso en su cuaderno y los dos entendieron que los recuerdos felices merecen ser compartidos. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0002,El fantasma curioso de Historia de fantasmas,E.T.A. Hoffmann,fantasmas_y_misterio,es,298,Ciudad Seva,evelyne_rojas,b40f7fa5fc8dba4928eed1763f63d84d7a58c51d,"Nadie en el pueblo tenía miedo de día, pero de noche todos hablaban bajito. Samuel y Lucía llegaron a la panadería cerrada para resolver quién dejaba huellas de harina. En una mesa encontraron una canica azul, cubierto por polvo naranja, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada Historia de fantasmas, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un toc toc detrás de una cortina y apareció el abuelo Suspiro. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un gato en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Samuel levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. el abuelo Suspiro sonrió tanto que por un momento iluminó todo la panadería cerrada. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Lucía escribió el caso en su cuaderno y los dos entendieron que una pregunta amable puede cambiar una noche. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0003,El secreto infantil de Una historia de fantasmas,Mark Twain,fantasmas_y_misterio,es,302,Ciudad Seva,evelyne_rojas,14d5e16f964b54cdbeff499952864bea77c39772,"Aquella tarde empezó tranquila, con olor a pan dulce y lluvia suave. Emilia y Hugo llegaron a el jardín de los faroles para resolver dónde estaba escondida la risa perdida. En una mesa encontraron una taza con lunares, cubierto por polvo verde, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada Una historia de fantasmas, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un toc toc detrás de una cortina y apareció la fantasmita Mila. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un perrito en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Emilia levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. la fantasmita Mila sonrió tanto que por un momento iluminó todo el jardín de los faroles. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Hugo escribió el caso en su cuaderno y los dos entendieron que la curiosidad necesita cuidado y respeto. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0004,La aventura de Fantasmas de Navidad,Charles Dickens,fantasmas_y_misterio,es,304,Ciudad Seva,evelyne_rojas,5300b9f3dfd0851f465568d647ecb620e82437f3,"Todo comenzó con un ruidito pequeño, casi como si alguien estornudara dentro de una caja. Hugo y Pablo llegaron a el corredor de los espejos para resolver quién ordenaba los juguetes al revés. En una mesa encontraron una linterna amarilla, cubierto por polvo azul, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada Fantasmas de Navidad, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un shhh detrás de una cortina y apareció el espectro Burbujas. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un perrito en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Hugo levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. el espectro Burbujas sonrió tanto que por un momento iluminó todo el corredor de los espejos. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Pablo escribió el caso en su cuaderno y los dos entendieron que la amistad puede iluminar hasta un rincón oscuro. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0005,El pequeÃ±o misterio de El fantasma del patio,Manuel Rojas,fantasmas_y_misterio,es,299,Ciudad Seva,evelyne_rojas,6a57924a18cb34296f84998644f02ce8f6d97b05,"El recreo acababa de terminar cuando apareció la primera pista. Nico y Julia llegaron a la casa de la abuela para resolver por qué aparecían estrellas en el piso. En una mesa encontraron una canica azul, cubierto por polvo dorado, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada El fantasma del patio, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un shhh detrás de una cortina y apareció la señora Bruma. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un caracol en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Nico levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. la señora Bruma sonrió tanto que por un momento iluminó todo la casa de la abuela. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Julia escribió el caso en su cuaderno y los dos entendieron que los recuerdos felices merecen ser compartidos. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0006,La noche amable de La tienda de los fantasmas,G.K. Chesterton,fantasmas_y_misterio,es,300,Ciudad Seva,evelyne_rojas,fc59300b37f53df005d8ba855c85ee56b0ee493b,"Era sábado y el cielo parecía una cobija llena de nubes. Luna y Hugo llegaron a el faro pequeño para resolver quién movía los libros de lugar. En una mesa encontraron una pluma brillante, cubierto por polvo morado, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada La tienda de los fantasmas, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un toc toc detrás de una cortina y apareció la gatita fantasma Menta. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un caracol en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Luna levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. la gatita fantasma Menta sonrió tanto que por un momento iluminó todo el faro pequeño. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Hugo escribió el caso en su cuaderno y los dos entendieron que cuidar las cosas antiguas cuida la memoria. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0007,El fantasma curioso de El fantasma,Enrique Anderson Imbert,fantasmas_y_misterio,es,300,Ciudad Seva,evelyne_rojas,98862cba24fd79e7bbe061a071aca6196c0dfc0d,"Aquella tarde empezó tranquila, con olor a pan dulce y lluvia suave. Sofía y Renata llegaron a la casa de la abuela para resolver por qué aparecían estrellas en el piso. En una mesa encontraron un cuaderno verde, cubierto por polvo plateado, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada El fantasma, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un fiuu detrás de una cortina y apareció la sombra Chispa. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un búho en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Sofía levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. la sombra Chispa sonrió tanto que por un momento iluminó todo la casa de la abuela. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Renata escribió el caso en su cuaderno y los dos entendieron que una pregunta amable puede cambiar una noche. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0008,El secreto infantil de Ser infeliz,Franz Kafka,fantasmas_y_misterio,es,300,Ciudad Seva,evelyne_rojas,99be9db075e3d70de91ad099607acac1731f5aa8,"El recreo acababa de terminar cuando apareció la primera pista. Sofía y Mara llegaron a la casa de la abuela para resolver quién ordenaba los juguetes al revés. En una mesa encontraron una pluma brillante, cubierto por polvo verde, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada Ser infeliz, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un plin detrás de una cortina y apareció el fantasma de las cosquillas. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un caracol en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Sofía levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. el fantasma de las cosquillas sonrió tanto que por un momento iluminó todo la casa de la abuela. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Mara escribió el caso en su cuaderno y los dos entendieron que no todo lo desconocido da miedo. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0009,La aventura de La procesiÃ³n de los 100 fantasmas,AnÃ³nimo,fantasmas_y_misterio,es,304,Ciudad Seva,evelyne_rojas,dab8fbd5daa8c9db11eeb23fd4fe9458a7113597,"Aquella tarde empezó tranquila, con olor a pan dulce y lluvia suave. Mateo y Luna llegaron a la torre del reloj para resolver quién tocaba la campana sin estar allí. En una mesa encontraron un cuaderno verde, cubierto por polvo azul, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada La procesión de los 100 fantasmas, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un clin detrás de una cortina y apareció el guardián invisible Tito. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un perrito en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Mateo levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. el guardián invisible Tito sonrió tanto que por un momento iluminó todo la torre del reloj. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Luna escribió el caso en su cuaderno y los dos entendieron que una pregunta amable puede cambiar una noche. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
evelyne_rojas_0010,El pequeÃ±o misterio de La litera fantasma,Rudyard Kipling,fantasmas_y_misterio,es,302,Ciudad Seva,evelyne_rojas,702cac003efbb445c68825b34e068bf3471f1bfb,"Aquella tarde empezó tranquila, con olor a pan dulce y lluvia suave. Mateo y Bruno llegaron a el corredor de los espejos para resolver por qué sonaban pasos en el pasillo. En una mesa encontraron una campanita plateada, cubierto por polvo plateado, y una nota que decía: ‘Busquen donde la sombra no pueda estar triste’. El caso recordaba a una historia antigua llamada La litera fantasma, aunque esta vez todo ocurrió de forma amable.

Primero pensaron que era una broma. Entonces se escuchó un clin detrás de una cortina y apareció la sombra Chispa. No tenía cara de susto, sino de alguien que había esperado mucho tiempo para pedir un favor. Les explicó que no quería asustar a nadie; solo necesitaba recuperar un recuerdo perdido antes de que saliera la luna.

Los niños siguieron tres pistas: una huella diminuta junto a la ventana, una risa escondida dentro de un cajón y el dibujo de un grillo en la pared. Cada pista los llevó a hablar en voz baja, observar con atención y no tocar nada sin permiso. Cuando Mateo levantó la linterna, el brillo señaló una tablita floja bajo una alfombra.

Debajo estaba la solución: una cajita con cartas, botones y una fotografía de una fiesta antigua. la sombra Chispa sonrió tanto que por un momento iluminó todo el corredor de los espejos. La puerta dejó de crujir, el reloj volvió a marcar la hora y las sombras se acomodaron como cobijas.

Antes de despedirse, el fantasma les regaló una promesa: cada vez que alguien cuidara un recuerdo, una lucecita aparecería en la ventana. Bruno escribió el caso en su cuaderno y los dos entendieron que la amistad puede iluminar hasta un rincón oscuro. Desde esa noche, el misterio ya no dio miedo; se volvió una historia para contar con chocolate caliente."
