id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
dayan_garcia_img_0001,img_001.png,princesas_y_castillos,ilustracion_plana_color,640,553,Castillo de cuento de hadas rosa con múltiples torres,Pinterest,dayan_garcia,fa35b95ba54547b91a242cc295d9d95a43f6d12e
dayan_garcia_img_0002,img_002.png,princesas_y_castillos,ilustracion_plana_color,661,587,Carruaje real elegante estilo cuento de hadas,Pinterest,dayan_garcia,43a812bc0c8697d8724870d9a883b8ea7ed19a6e
dayan_garcia_img_0003,img_003.png,princesas_y_castillos,ilustracion_plana_color,587,702,Castillo rosa pequeño con torres cónicas,Pinterest,dayan_garcia,078a0ed9ff8b8ac126f1fed266b34abe1435eda1
dayan_garcia_img_0004,img_004.png,princesas_y_castillos,ilustracion_plana_color,423,606,Castillo de fantasía estilo ilustración infantil,Pinterest,dayan_garcia,55388c2bf1f4513530014f8d3a6ea5993d6a7806
dayan_garcia_img_0005,img_005.png,princesas_y_castillos,ilustracion_plana_color,522,465,Castillo real de color rosa pastel,Pinterest,dayan_garcia,1d3095ff607a024fde6706889d798df3d4c38e16
dayan_garcia_img_0006,img_006.png,princesas_y_castillos,ilustracion_plana_color,552,542,Castillo de estilo medieval azul y blanco,Pinterest,dayan_garcia,829865bc2cbb8a6dc8c844a60baa60779e0a08cc
dayan_garcia_img_0007,img_007.png,princesas_y_castillos,ilustracion_plana_color,572,680,Castillo clásico de princesa en color rosa,Pinterest,dayan_garcia,b97217200ddebd45153956f6ea37fb8e1be9f04f
dayan_garcia_img_0008,img_008.png,princesas_y_castillos,ilustracion_plana_color,555,745,Castillo de fantasía azul claro,Pinterest,dayan_garcia,3ed3205786b30f84c0d4c279a372608d4e30c9ef
dayan_garcia_img_0009,img_009.png,princesas_y_castillos,ilustracion_plana_color,528,636,Castillo mágico con torres altas y tonos azulados,Pinterest,dayan_garcia,b622b2802dc40187bf875319d07b50093db7cb17
dayan_garcia_img_0010,img_010.png,princesas_y_castillos,ilustracion_plana_color,572,565,Castillo real grande con diseño detallado en rosa,Pinterest,dayan_garcia,0c81f2419344976134c43f9c6d75b57e1c2dd460
dayan_garcia_img_0011,img_011.png,princesas_y_castillos,ilustracion_plana_color,637,635,Castillo de cuento de hadas con torres rosadas,Pinterest,dayan_garcia,acfb000114bdd40ea0cbf813b39df0d8e2c07cfe
dayan_garcia_img_0012,img_012.png,princesas_y_castillos,ilustracion_plana_color,622,636,Castillo de princesa con diseño estilizado,Pinterest,dayan_garcia,31fff30e291339a81055d14406ec7b606d6df83d
dayan_garcia_img_0013,img_013.png,princesas_y_castillos,ilustracion_plana_color,773,647,Castillo medieval realista con tonos piedra,Pinterest,dayan_garcia,2150c0b2d1b67f0cf91f25ee1d621c045d1f1708
dayan_garcia_img_0014,img_014.png,princesas_y_castillos,ilustracion_plana_color,638,492,Castillo de fantasía con arquitectura clásica,Pinterest,dayan_garcia,b60891297a9b45cf48526d1cf08e69608f4cfcca
dayan_garcia_img_0015,img_015.png,princesas_y_castillos,ilustracion_plana_color,575,541,Castillo azul con torres estilo real,Pinterest,dayan_garcia,3fe93291f4666e2598576212709b5d8534f533e3
dayan_garcia_img_0016,img_016.png,princesas_y_castillos,ilustracion_plana_color,642,713,Castillo rosa con diseño de torres redondeadas,Pinterest,dayan_garcia,80c4fc70d17e740171185e2b0a0a6650bba46085
dayan_garcia_img_0017,img_017.png,princesas_y_castillos,ilustracion_plana_color,568,635,Castillo de cuento con torres rosas y balcones,Pinterest,dayan_garcia,1eee10ea06717bfa80a77a5312421dd71361e7a9
dayan_garcia_img_0018,img_018.png,princesas_y_castillos,ilustracion_plana_color,557,672,Castillo real grande estilo palacio rosa,Pinterest,dayan_garcia,ea0246f1efc76caebf6adfa9f22a62f75d845c25
dayan_garcia_img_0019,img_019.png,princesas_y_castillos,ilustracion_plana_color,428,462,Castillo azul con diseño de torres altas,Pinterest,dayan_garcia,9be0dea464c4602dde8caa3e7e2adad6876f3e5e
dayan_garcia_img_0020,img_020.png,princesas_y_castillos,ilustracion_plana_color,547,602,Castillo medieval con torres de piedra azulada,Pinterest,dayan_garcia,d2c2eacd126380f67e803f6d316d75a1ab0c9703
dayan_garcia_img_0021,img_021.png,princesas_y_castillos,ilustracion_plana_color,570,583,Castillo de fantasía en tonos acuarela,Pinterest,dayan_garcia,4efa6b8a974068a1da01208b1aff797bd43a0ad6
dayan_garcia_img_0022,img_022.png,princesas_y_castillos,ilustracion_plana_color,561,576,Castillo rosa decorativo de cuento,Pinterest,dayan_garcia,18d35733eba6fd46886ce31bbf839dbac7830098
dayan_garcia_img_0023,img_023.png,princesas_y_castillos,ilustracion_plana_color,582,536,Castillo azul de fantasía con torres puntiagudas,Pinterest,dayan_garcia,597dd4f13bb6323b81a6da8049b76a7f9007fd43
dayan_garcia_img_0024,img_024.png,princesas_y_castillos,ilustracion_plana_color,437,512,Castillo de cuento con diseño simétrico,Pinterest,dayan_garcia,0035a268aa349407848147c19094fd62e49ef716
dayan_garcia_img_0025,img_025.png,princesas_y_castillos,ilustracion_plana_color,570,530,Castillo de princesa en tonos violeta y rosa,Pinterest,dayan_garcia,dfe1645199d8dd68b2f2454dc72b262d77275ba9
dayan_garcia_img_0026,img_026.png,princesas_y_castillos,ilustracion_plana_color,557,602,Castillo elegante con torres altas y fondo cielo,Pinterest,dayan_garcia,8f0315f6f150b33d7717ab583ce2a63c6196bfbd
dayan_garcia_img_0027,img_027.png,princesas_y_castillos,ilustracion_plana_color,540,627,Castillo de cuento con diseño vertical rosa,Pinterest,dayan_garcia,bfdac48ba4400b52c10fa76919cea24cea942e50
dayan_garcia_img_0028,img_028.png,princesas_y_castillos,ilustracion_plana_color,538,611,Castillo de fantasía con cúpulas y torres,Pinterest,dayan_garcia,5273ddadcd113e9687b8105d2d8dba24989cc765
dayan_garcia_img_0029,img_029.png,princesas_y_castillos,ilustracion_plana_color,525,611,Castillo de princesa con estilo simplificado,Pinterest,dayan_garcia,4b2b27272308425d9c4297992f223202a790609b
dayan_garcia_img_0030,img_030.png,princesas_y_castillos,ilustracion_plana_color,562,608,Castillo de cuento color rosa brillante,Pinterest,dayan_garcia,c5bd46fb556f231ad11da7b41afd79bc73a2f9dd
dayan_garcia_img_0031,img_031.png,princesas_y_castillos,ilustracion_plana_color,570,575,Castillo mágico rosa con diseño ornamental,Pinterest,dayan_garcia,ff0436acd423165042dd67208e79e2c77f235084
