id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
brandon_reyna_img_0001,img_0001.jpg,piratas,ilustracion_plana_color,800,1200,barco pirata en estilo plano infantil,pinterest,brandon_reyna,382fb353f22d4ae6673c9b80d413c6f2c272c949
brandon_reyna_img_0002,img_0002.jpg,piratas,ilustracion_plana_color,626,626,capitán pirata con fondo de mar azul,pinterest,brandon_reyna,5b5d42d8091e3cd92802487a03addeb644bdf3dc
brandon_reyna_img_0003,img_0003.jpg,piratas,ilustracion_plana_color,1080,1414,cofre del tesoro con nubes y olas,pinterest,brandon_reyna,777bd2fb403d05d3f308de4a1eb611142d63c58b
brandon_reyna_img_0004,img_0004.jpg,piratas,ilustracion_plana_color,578,980,mapa antiguo dibujado para cuento infantil,pinterest,brandon_reyna,f27209f878e94a89abe3525a0a4bff34a0255429
brandon_reyna_img_0005,img_0005.jpg,piratas,ilustracion_plana_color,1001,1920,isla tropical con colores vivos,pinterest,brandon_reyna,205dffafa65852ee6bc19c617d221d21b63d7ae5
brandon_reyna_img_0006,img_0006.jpg,piratas,ilustracion_plana_color,640,640,bandera pirata en escena de aventura,pinterest,brandon_reyna,1e6d274ba96adbb3ec3b5c17128b6931ba221fe9
brandon_reyna_img_0007,img_0007.jpg,piratas,ilustracion_plana_color,626,626,loro sobre un mástil con detalles sencillos,pinterest,brandon_reyna,8d5f78955b9447bf8dd784ff3c6d37dbbfbe1fec
brandon_reyna_img_0008,img_0008.jpg,piratas,ilustracion_plana_color,614,947,calavera pirata bajo la luna,pinterest,brandon_reyna,a6b48dcb74849ff737a50fe79f34da281364fae5
brandon_reyna_img_0009,img_0009.jpg,piratas,ilustracion_plana_color,736,1104,brújula dorada frente a una isla,pinterest,brandon_reyna,31c0ce444a11681c04135496a1000b34bceaa9f8
brandon_reyna_img_0010,img_0010.jpg,piratas,ilustracion_plana_color,626,501,botella con mensaje sobre arena dorada,pinterest,brandon_reyna,8ea4cccc1aea332e006c6f5d96f132957cc37410
brandon_reyna_img_0011,img_0011.jpg,piratas,ilustracion_plana_color,700,1080,ancla oxidada navegando al atardecer,pinterest,brandon_reyna,72a8bbbf6a4f1d107c16c79df35d9b394325b33f
brandon_reyna_img_0012,img_0012.jpg,piratas,ilustracion_plana_color,1024,1024,timón de madera con estilo de icono,pinterest,brandon_reyna,658e043b9535d1d4498af815ad5d6cb1f86dac1b
brandon_reyna_img_0013,img_0013.jpg,piratas,ilustracion_plana_color,1199,1041,cañón de cubierta en paisaje tropical,pinterest,brandon_reyna,512c16d00a41be17c2fe115617e58426046edb39
brandon_reyna_img_0014,img_0014.jpg,piratas,ilustracion_plana_color,980,980,sirena del puerto con ambiente misterioso,pinterest,brandon_reyna,77d78ba6fe642e3be9434a54bad6eed74a163c50
brandon_reyna_img_0015,img_0015.jpg,piratas,ilustracion_plana_color,1200,1246,cueva escondida en composición sencilla,pinterest,brandon_reyna,74c44ca353e458b8aa881533255ae45cdf44ce00
brandon_reyna_img_0016,img_0016.jpg,piratas,ilustracion_plana_color,629,800,playa con palmeras con expresión amigable,pinterest,brandon_reyna,bfe110911094b38b9bae66f4f43a24fce67eb5f2
brandon_reyna_img_0017,img_0017.jpg,piratas,ilustracion_plana_color,736,736,pirata con sombrero en alta mar,pinterest,brandon_reyna,e1fa3ecf1a30f68d7c0156435c8c8bba5bb22470
