id,titulo,autor,tematica,idioma,num_palabras,fuente,recolector,hash_texto,texto
cesar_munguia_0001,La casita en el árbol del bebé T-Rex,Anonimo,dinosaurios_y_prehistoria,es,281,sintetica,cesar_munguia,003a30c449395c571c2e55be033454bbe56479cc,"En la orilla de un bosque lleno de helechos altos, vivía Roco, un bebé T-Rex con patas fuertes, dientes pequeñitos y muchas ganas de ser valiente. Su mamá había hecho una casita entre las ramas bajas de un árbol enorme caído sobre tres rocas. No estaba muy alta, pero para Roco parecía tocar las nubes.

—Quédate aquí mientras busco hojas suaves para tu cama —dijo mamá T-Rex—. Si oyes truenos, métete bajo el tronco.

Roco asintió. Al principio, la casita olía a madera tibia y resina dulce. Desde allí veía libélulas gigantes pasar como barquitos brillantes. Pero pronto el cielo se puso oscuro. El viento movió los helechos y una lluvia gorda empezó a caer.

Roco quiso bajar, pero el suelo se llenó de barro resbaloso. Su cola quedó atrapada entre dos ramas.

—¡Mamá! —gritó, aunque el viento se llevó su voz.

Entonces recordó lo que ella le había enseñado: respirar hondo, empujar despacio y no morder todo cuando tenía miedo. Roco apoyó sus patitas contra el tronco, movió la cola una vez, dos veces, y logró soltarla. Pero el agua subía alrededor de la casita.

Un pequeño pterosaurio que se refugiaba cerca chilló asustado. Roco lo vio temblar. Aunque era bebé, se hizo a un lado y le dejó un huequito seco.

Cuando el trueno más fuerte sacudió el árbol, Roco cerró los ojos y rugió: no un rugido grande, sino uno firme. Mamá T-Rex apareció entre la lluvia, cargando ramas.

—¡Mi pequeño campeón! —dijo.

Juntos reforzaron la casita con hojas grandes. Al amanecer, Roco miró el bosque brillante y entendió que ser valiente no era no tener miedo, sino acordarse de qué hacer cuando el mundo se ponía ruidoso."
cesar_munguia_0002,¡A buscar el huevo con manchitas!,Anonimo,dinosaurios_y_prehistoria,es,295,sintetica,cesar_munguia,0ca05bb1c8e1c07f13452f30507708e934a300cd,"Lila era una pequeña Oviraptor de ojos redondos y pasos veloces. Aquella mañana, mientras el sol pintaba de naranja la arena caliente, su tía contó los huevos del claro.

—Uno, dos, tres... ¡falta el de las manchitas azules!

Lila abrió mucho el pico. Ese huevo siempre rodaba un poquito porque era casi redondo como una piedra de río. No podía estar lejos.

—Yo lo encontraré —dijo Lila, levantando una pluma de la cola.

No fue sola. La acompañó Bombo, un anquilosaurio pequeño que caminaba despacio, pero sabía escuchar el suelo. Buscaron cerca de las raíces, entre las flores rojas y bajo una hoja enorme. Nada.

—Tal vez se fue jugando —bromeó Bombo.

Lila no se rió. El sol subía y la arena podía calentarse demasiado. Entonces vio una marca curva, como una sonrisa dibujada en el polvo. El huevo había rodado colina abajo.

Los dos siguieron el rastro hasta un arroyo estrecho. Allí estaba: el huevo con manchitas, detenido contra una piedra, mientras el agua empezaba a empujarlo.

—¡Se va! —gritó Lila.

Bombo se plantó en el agua como una roca con patas. Lila saltó sobre su lomo, estiró el cuello y empujó el huevo con cuidado. Pero una ramita lo soltó de golpe y empezó a girar.

Lila se lanzó sobre la arena húmeda y lo abrazó con sus patitas delanteras.

—No tan rápido, pequeñín —susurró.

Bombo ayudó a subirlo por la cuesta, resoplando. Cuando regresaron al claro, las demás Oviraptor hicieron una ronda de sombra con sus cuerpos.

El huevo quedó en su sitio, tibio y tranquilo. Lila se acostó junto a él, cubierta de barro hasta la punta del pico.

—Parece que encontraste más que un huevo —dijo su tía.

—Sí —respondió Lila, sonriendo—. También encontré un amigo que sirve de puente."
cesar_munguia_0003,Cuidando el nido de plumitas,Anonimo,dinosaurios_y_prehistoria,es,300,sintetica,cesar_munguia,52b5d72feccc2923b9494f954a9ebc6773fb54ef,"En una llanura suave, donde crecían plantas con hojas como abanicos, Mina la Troodon cuidaba un nido redondo. No era un nido cualquiera: estaba hecho con ramitas, musgo y plumitas que ella recogía al amanecer.

Dentro descansaban cuatro huevos tibios. Mina no era grande ni fuerte, pero era muy atenta. Sabía cuándo girarlos un poquito, cuándo taparlos del sol y cuándo cantar bajito para que todo se sintiera en calma.

Una tarde, el cielo se llenó de nubes grises. Los otros dinosaurios corrieron hacia los árboles, pero Mina miró el nido. Si se iba, el viento podía llevarse las plumitas. Si se quedaba, la lluvia podía empapar los huevos.

—Necesito un techo —pensó.

Buscó hojas enormes de cícada, pero cada vez que colocaba una, el viento la levantaba como si fuera una mariposa verde. Mina frunció el hocico. Entonces vio a Tresco, un joven Triceratops que practicaba empujar troncos.

—¿Puedes ayudarme sin pisar aquí? —preguntó señalando el borde del nido.

Tresco caminó con muchísimo cuidado. Empujó dos ramas largas y las cruzó encima del nido. Mina colocó hojas sobre ellas, una por una. Parecía una carpa pequeñita.

De pronto cayó granizo, bolitas frías que botaban por el suelo. Una rama crujió. Mina se puso debajo del techo y sostuvo la hoja más grande con la cabeza. Tresco apoyó su cuerno contra la rama para que no bajara.

El ruido duró poco, aunque a Mina le pareció larguísimo.

Cuando salió el sol, las plumitas seguían secas. Uno de los huevos hizo un sonido suave: tac, tac.

Mina abrió los ojos con emoción. No pasó nada más, solo ese anuncio pequeñito.

Tresco sonrió.

—Creo que les gustó la casa.

Mina acomodó una plumita rebelde y se sintió tranquila. No había detenido la tormenta, pero había hecho un lugar seguro dentro de ella."
cesar_munguia_0004,¡Al rescate del dino explorador!,Anonimo,dinosaurios_y_prehistoria,es,291,sintetica,cesar_munguia,f73705efd378b77144f6bf6a91e552b5a94d61f9,"Nico era un joven Parasaurolophus con una cresta larga que sonaba como trompeta. Le encantaba mirar todo: piedras brillantes, hojas mordidas, charcos con renacuajos y nubes con forma de saurópodo.

Su papá siempre decía:

—Explorar está bien, pero avisa por dónde vas.

Nico asentía, aunque a veces sus patas pensaban más rápido que su cabeza. Esa mañana siguió a una mariposa enorme hasta una zona de rocas negras. Había túneles pequeños hechos por agua antigua, y uno parecía una puerta secreta.

—Solo miraré un poquito —dijo.

Entró. Adentro olía a tierra fresca. La mariposa salió por una grieta, pero Nico no cabía. Al girar, su cresta golpeó el techo: ¡toc! Varias piedritas cayeron y taparon la entrada.

Nico tragó saliva. Quiso llorar, pero recordó la canción que su papá usaba cuando la manada debía reunirse. Soplando por su cresta hizo: Uuuuu-pom, uuuuu-pom.

En el valle, su hermana Tana oyó algo raro.

—Ese no es viento —dijo.

Corrió a buscar al papá. Él escuchó, contestó con otra nota y esperó. Desde la roca llegó otra vez: Uuuuu-pom.

—Está asustado, pero está pensando —dijo papá.

No podían romper la piedra a golpes, porque el túnel podía caerse. Entonces llamaron a una familia de pequeños paquicefalosaurios, expertos en mover piedras con empujoncitos suaves. Tana trajo ramas para hacer palancas.

Adentro, Nico seguía cantando, cada vez más bajito. Cuando una rendija dejó pasar luz, puso el ojo y vio el pico de su hermana.

—¡Te encontré! —dijo ella.

La última piedra rodó y Nico salió cubierto de polvo. Su papá lo abrazó con el cuello.

—Exploraré avisando —prometió Nico.

Después, todos miraron el túnel desde fuera. Nico descubrió que las mejores aventuras no siempre son las más lejanas, sino las que te enseñan a volver."
cesar_munguia_0005,Siguiendo las huellitas de bebé,Anonimo,dinosaurios_y_prehistoria,es,317,sintetica,cesar_munguia,5b10fc64b01f1f55bcd7db6c94331ae62140436a,"Tupi, un pequeño Estegosaurio, tenía placas suaves que apenas empezaban a crecerle. Caminaba con su abuela por un bosque de árboles antiguos cuando descubrió algo en el barro: marcas diminutas, redondas y torcidas.

—Son pasos de alguien muy chiquito —dijo Tupi.

La abuela olfateó el aire.

—Y recientes.

No oyeron llantos ni rugidos. Solo el zumbido de los insectos y el crujir de hojas secas. Tupi miró alrededor. Cerca de allí pasaba la manada, pero esas marcas iban en dirección contraria, hacia una zona de juncos altos.

—Quizá se distrajo —susurró.

Siguieron las huellitas sin pisarlas. Tupi iba delante, orgulloso de ver detalles que los adultos a veces no notaban: una gotita en una hoja, una ramita rota, un pequeño raspón en la corteza.

Las marcas terminaron junto a un tronco hueco. Dentro se movía algo.

—¿Hola? —preguntó Tupi.

Salió una cría de Iguanodon, tan pequeña que todavía le temblaban las patas. Tenía una hoja pegada en la cabeza y miraba todo con sorpresa.

Tupi sonrió, pero la abuela levantó la cola. Entre los juncos se acercaba un dromeosaurio joven, curioso y hambriento.

—Despacio hacia mí —dijo la abuela.

Tupi no era fuerte, pero tenía buenas ideas. Movió sus placas y golpeó una rama seca contra otra. ¡Clac, clac, clac! Luego rugió lo más grave que pudo. La abuela se puso a su lado, enorme como una pared con púas.

El dromeosaurio se detuvo. Tal vez pensó que había encontrado a un gigante invisible haciendo música de ramas. Dio media vuelta y desapareció.

La cría de Iguanodon se pegó a Tupi. Siguiendo las huellas de regreso, encontraron a su familia cerca del río, buscándola con preocupación.

La mamá Iguanodon lamió la hoja de la cabeza de su bebé. Tupi recibió una flor amarilla como agradecimiento.

Esa noche, Tupi caminó junto a su abuela. Sus placas parecían un poco más altas, o quizá él se sentía más grande."
cesar_munguia_0006,Un bebé llora en el valle de los dinos,Anonimo,dinosaurios_y_prehistoria,es,301,sintetica,cesar_munguia,16e17b9e8968edc6ad45fff102daec24bf3633ec,"El valle despertaba con sonidos suaves: agua entre piedras, alas de insectos, ramas movidas por el viento. Pero esa mañana hubo un sonido nuevo.

—¡Buaaa! ¡Buaaa!

Era un llanto pequeño, fuerte y muy decidido.

Nara, una bebé Triceratops, levantó la cabeza. Ella también era pequeña, pero conocía algunas cosas importantes: cuando tenía hambre empujaba con el hocico, cuando tenía frío se acercaba a mamá, y cuando algo le molestaba movía sus patitas.

El llanto venía de detrás de unas rocas cubiertas de musgo. Nara fue trotando y encontró a un bebé Ankylosaurus panza arriba. Sus patitas cortas se movían en el aire como escarabajos.

—¿Te caíste? —preguntó Nara.

El bebé respondió con otro ¡buaaa!

Nara intentó empujarlo con el cuerno, pero sus cuernos todavía eran redonditos. Probó con la cabeza. Nada. El bebé era como una piedra con cola.

Alrededor, los adultos estaban lejos, comiendo hojas junto al río. Nara no sabía llamarlos con palabras, pero sí sabía hacer ruido. Golpeó el suelo con las patas: pum, pum, pum. Luego empujó una piedra que rodó colina abajo: ¡tocotocotoc!

El bebé dejó de llorar un segundo, sorprendido. Después lloró más fuerte.

—Ya voy, ya voy —dijo Nara, aunque no estaba segura de qué hacer.

Entonces vio un montón de hojas secas. Las apiló junto al costado del bebé y empujó poco a poco. El Ankylosaurus rodó sobre las hojas blandas y quedó de lado. Con un esfuerzo final, ¡plaf!, se puso sobre sus patas.

En ese momento llegó su mamá, guiada por los ruidos. Olfateó al bebé y luego a Nara.

El pequeño Ankylosaurus ya no lloraba. Mordisqueaba una hoja como si nada hubiera pasado.

Nara sintió calorcito en el pecho. No había sabido todo desde el principio, pero su cuerpo le había dicho: acércate, prueba, llama, ayuda. Y eso había bastado."
cesar_munguia_0007,"El bebé, el gran tesoro de la familia dino",Anonimo,dinosaurios_y_prehistoria,es,327,sintetica,cesar_munguia,d41039971c2112577d677396f9f7679aaa219e53,"En una costa antigua, donde las olas dejaban conchas brillantes sobre la arena, vivía la familia de Duna, una bebé Diplodocus. Era tan larga como una rama caída y tan curiosa que siempre intentaba tocar el mundo con la punta de la nariz.

Su abuelo decía que cada cría traía una canción nueva a la manada. Su hermana mayor decía que Duna traía babas. Su mamá solo sonreía y la acomodaba entre sus patas gigantes.

Un día, la manada debía cruzar una playa ancha antes de que subiera la marea. Los adultos caminaban formando un círculo alrededor de los más pequeños. Duna iba en medio, mirando cangrejos prehistóricos que corrían de lado.

—No te quedes atrás —le dijo su hermana.

Pero Duna vio una concha rosa. Era perfecta. Quiso empujarla con el hocico para regalársela a mamá. La concha rodó, Duna la siguió y, sin darse cuenta, quedó cerca de unas rocas donde el agua empezaba a entrar.

La marea subía rápido. Duna hizo un sonido finito.

Su hermana fue la primera en notar el espacio vacío.

—¡Duna no está!

No hubo gritos desordenados. El abuelo levantó el cuello para mirar. La mamá escuchó. Los primos pequeños se juntaron. Cada quien sabía algo: uno recordaba la concha rosa, otro había visto marcas en la arena, otro olía las algas movidas.

Cuando encontraron a Duna, el agua le llegaba a las rodillas. Ella sostenía la concha con mucho orgullo y un poquito de miedo.

La mamá no podía entrar entre las rocas. Entonces el abuelo bajó su cuello como un puente, la hermana empujó desde un lado y Duna subió despacito, apretando la concha.

Al llegar a tierra seca, todos la rodearon. Nadie se burló. La hermana le limpió arena del hocico.

Duna dejó la concha frente a su mamá.

—Para ti —parecía decir.

La mamá la tocó con ternura. En la manada, Duna entendió que era pequeña, sí, pero también era el centro de muchos corazones enormes."
cesar_munguia_0008,El dinosaurio gigante y su pequeño amiguito,Anonimo,dinosaurios_y_prehistoria,es,310,sintetica,cesar_munguia,9ed02957ff8f7bcbb1951776d38d235f8efe41a8,"Bruno era un Brachiosaurus tan alto que las nubes parecían descansar en su cabeza. Comía hojas de los árboles más altos y caminaba con pasos lentos que hacían bailar los charcos.

Una mañana encontró a Pipo, un Compsognathus diminuto, escondido dentro de una flor gigante.

—¿Por qué tiemblas? —preguntó Bruno con voz profunda.

—Porque todos casi me pisan —respondió Pipo—. Soy pequeño como una semilla con patas.

Bruno miró sus enormes pies y se sintió torpe. Nunca había pensado que el suelo, para alguien tan chico, podía ser un lugar lleno de terremotos.

—Puedes caminar conmigo —ofreció.

Pipo se subió a una raíz y luego al lomo de Bruno. Desde allí vio el bosque entero: helechos, lagunas, mariposas grandes como hojas. Se rió tanto que Bruno también rió, y su risa movió las ramas.

Durante varios días anduvieron juntos. Pipo avisaba cuando había frutas maduras cerca del suelo. Bruno alcanzaba hojas tiernas para compartir. Los demás dinosaurios los miraban raro.

—Uno es demasiado grande —decían unos.

—El otro demasiado pequeño —decían otros.

Pero a ellos les gustaba conversar. Bruno contaba historias lentas sobre estrellas. Pipo inventaba chistes rápidos sobre escarabajos.

Una tarde, el volcán lejano soltó un soplo de ceniza. No era una gran erupción, pero el aire se volvió gris y los dinosaurios buscaron agua limpia. Bruno caminó hacia una laguna que conocía, pero una rama espinosa se le clavó entre los dedos. No podía avanzar.

Pipo bajó de un salto.

—Yo entro ahí —dijo.

Se metió entre las uñas gigantes, mordisqueó fibras, tiró de la espina y la sacó con un ¡pop! Bruno suspiró tan fuerte que levantó polvo.

Luego cargó a Pipo hasta la laguna sobre su cabeza, por encima de la ceniza baja.

Al anochecer, los demás comprendieron algo sencillo: el tamaño sirve para algunas cosas, la pequeñez para otras, y la amistad para casi todo."
cesar_munguia_0009,¿Dónde está el bebé del nido vacío?,Anonimo,dinosaurios_y_prehistoria,es,321,sintetica,cesar_munguia,79990f72dd4c7c1b5d1c8827132ac21e26f144db,"A la sombra de unas palmeras antiguas, una mamá Maiasaura volvió con ramas tiernas para su bebé. Pero al mirar el nido, se quedó quieta. La camita de hojas estaba aplastada y vacía.

No rugió de inmediato. Primero olfateó. Después miró el borde del nido. Había una marca de cola, unas hojas dobladas y pequeñas señales en la tierra húmeda.

Cerca estaba Sami, un joven dinosaurio de pico ancho que conocía bien los caminos del pantano.

—Yo te ayudo —dijo.

La mamá asintió, preocupada pero atenta. Sami no corrió. Sabía que las pistas se rompían con patas apuradas. Siguió una línea de juncos movidos, luego encontró una gotita de savia pegada a una hoja. El bebé había pasado junto a los árboles pegajosos.

Más adelante, las marcas desaparecieron sobre piedras lisas.

—Aquí no hay pasos —dijo Sami.

La mamá bajó el cuello y escuchó. Solo se oía el croar de ranas antiguas. Entonces Sami vio algo: una hojita mordida por dientecitos pequeños flotaba en un charco.

—Fue por el agua baja.

Caminaron por la orilla hasta una cueva pequeña. De adentro salió un hipo: ¡ic!

El bebé estaba allí, sentado junto a una tortuga prehistórica. No lloraba. Parecía muy ocupado mirando cómo la tortuga metía la cabeza en su caparazón.

La mamá quiso entrar, pero la cueva era estrecha. Sami se agachó.

—Ven, pequeñín. Tu cama te espera.

El bebé dio dos pasos y se detuvo. Afuera, una sombra de pterosaurio cruzó el suelo. La cría se asustó y retrocedió.

Sami tomó una hoja grande y la movió como techo. La mamá cantó un murmullo bajo, igual al que usaba al anochecer. Poco a poco, el bebé salió.

De regreso, la mamá reforzó el borde del nido con ramas más altas. El bebé se acurrucó, cansado de su paseo secreto. Sami miró las señales alrededor y sonrió. A veces, encontrar a alguien era aprender a leer lo que el mundo susurraba."
cesar_munguia_0010,Tras el rastro del cascarón manchado,Anonimo,dinosaurios_y_prehistoria,es,555,sintetica,cesar_munguia,1bf970b04ccc7fc9dd3cf9cdc36fba37880de2f9,"Púa era un joven Triceratops que siempre iba un paso atrás de su gran manada. Mientras los demás se dedicaban a pastar y masticar hojas duras bajo el sol abrasador, a él le gustaba detenerse y observar el suelo. Con sus tres pequeños cuernos apenas brotando, Púa prestaba atención a los detalles más diminutos: una huella extraña, una hoja masticada a medias o las rocas de formas curiosas. Los demás miembros jóvenes jugaban a golpearse suavemente con la cabeza, preparándose para cuando tuvieran cuernos de verdad, pero Púa prefería el silencio y la tranquilidad de su propia mente curiosa. Esa mañana, la rutina de la llanura se rompió por completo.
El líder de la manada, un viejo gigante lleno de cicatrices, emitió un bramido de alarma que hizo temblar la tierra. Uno de los nidos había sido asaltado durante la noche. Alguien o algo se había llevado un huevo muy especial, reconocido por todos debido a sus singulares pintas azules y marrones. La manada estaba agitada y nerviosa, pisoteando el suelo y levantando nubes de polvo que nublaban la vista.
Púa, en lugar de entrar en pánico, bajó la cabeza y comenzó a inspeccionar el área alrededor del nido saqueado. Entre el polvo revuelto, sus agudos ojos notaron algo que los adultos habían pasado por alto: pequeñas gotas de un líquido pegajoso y fragmentos diminutos de hojas aplastadas en una dirección específica, hacia los cañones de piedra caliza.
Sin avisar a nadie, el joven Triceratops se separó del grupo y comenzó a caminar. El sol calentaba las rocas rojas, y el viento soplaba levantando arena que le picaba en los ojos, pero él no se detuvo. Seguía la sutil línea de pistas. El camino se hacía cada vez más empinado y difícil para un animal de cuatro patas acostumbrado a caminar por superficies planas y cómodas. De repente, el rastro terminaba abruptamente frente a una grieta estrecha en la pared de roca, un lugar demasiado pequeño para un dinosaurio adulto, pero justo del tamaño de Púa.
Se adentró en la oscuridad con valentía. Dentro de la cueva, escuchó unos chillidos agudos y rápidos. Eran tres ágiles y escurridizos Oviraptores que estaban empujando el pesado huevo manchado hacia el borde de un precipicio subterráneo, intentando romperlo. El huevo manchado era muy pesado, y empujarlo cuesta arriba le costaba mucho trabajo a los ágiles ladrones.
Púa sintió que la sangre le hervía. Aunque era herbívoro y pacífico, no iba a permitir que le hicieran daño al futuro miembro de su familia. Bajó la cabeza, apuntó con sus pequeños cuernos y dio un fuerte pisotón que hizo eco en las paredes de piedra, amplificando el sonido y haciéndolo parecer diez veces más grande.
Los ladronzuelos, asustados por el inesperado estruendo, soltaron el huevo y huyeron chillando hacia la oscuridad. El huevo rodó peligrosamente hacia el borde. Púa se lanzó hacia adelante, usando su fuerte hocico en forma de pico para detenerlo justo a tiempo. Con extremo cuidado y mucha paciencia, lo empujó rodando suavemente de regreso hacia la luz del sol y luego hacia la llanura. Cada vez que daba un paso, Púa sentía la tensión en sus jóvenes músculos, pero su voluntad era más fuerte. Cuando la manada vio a Púa regresar victorioso, lo recibieron con suaves gruñidos de agradecimiento. El joven observador había salvado el día."
