id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
grisel_img_0001,img_0001.png,princesas_y_castillos,ilustracion_plana_color,1920,1920,Unicornio azul corriendo.,Pixabay,grisel,02a0405b916b81f5fd7fb1da236f2cc28ac111ff
grisel_img_0002,img_0002.png,princesas_y_castillos,ilustracion_plana_color,1086,1920,Niña rubia con ropa deportiva.,Pixabay,grisel,577ecd89d3ef00618de46bdbeba6bc000f06841f
grisel_img_0003,img_0003.png,princesas_y_castillos,ilustracion_plana_color,1130,1920,Princesa y príncipe medieval conversando.,Pixabay,grisel,20a2ceb4d79df3150c6fa80ca473bff8f82baf5b
grisel_img_0004,img_0004.png,princesas_y_castillos,ilustracion_plana_color,1920,1099,Siete enanitos reunidos alrededor de una cama.,Pixabay,grisel,9081cb9425099fc9e8567c783a554e1f9090a6dd
grisel_img_0005,img_0005.png,princesas_y_castillos,ilustracion_plana_color,1920,1920,Unicornio blanco con melena azul bajo la luna.,Pixabay,grisel,c5820d36e43ebcb27efee5b9f222f4a79dbb9bc3
grisel_img_0006,img_0006.png,princesas_y_castillos,ilustracion_plana_color,1920,1119,Castillo blanco con torres y banderas.,Pixabay,grisel,9d789d44fbd9ed82d629d7e211f32676a44c43d8
grisel_img_0007,img_0007.png,princesas_y_castillos,ilustracion_plana_color,1920,1461,Castillo junto a un río entre colinas verdes.,Pixabay,grisel,e370b477c2c3e44424d690532898115fcc89fa4e
grisel_img_0008,img_0008.png,princesas_y_castillos,ilustracion_plana_color,1024,1536,Niña durmiendo bajo la luna frente a un castillo iluminado.,Pixabay,grisel,bfc0a2539c3c5fc531e394d1658476d94cff1476
grisel_img_0009,img_0009.png,princesas_y_castillos,ilustracion_plana_color,1024,1536,Princesa leyendo en su habitación durante la noche.,Pixabay,grisel,b7e44e9a0f60fd887b891f97551bce6a4a2efcf6
grisel_img_0010,img_0010.png,princesas_y_castillos,ilustracion_plana_color,1024,1536,Niña junto a un delfín rosado en un lago bajo la luna.,Pixabay,grisel,520a4f96350c62368751c9c113e6518ebe3d0243
grisel_img_0011,img_0011.png,princesas_y_castillos,ilustracion_plana_color,1297,1920,Pájaro azul posado sobre una rama.,Pixabay,grisel,e8a9c7bc058298aa988986ae2fcdf8d9c6b290ac
grisel_img_0012,img_0012.png,princesas_y_castillos,ilustracion_plana_color,1280,1920,Princesa con corona de joyas y vestido elegante.,Pixabay,grisel,2645c0e23f521ecdbc70a5b44e31fc2c7c8f6662
grisel_img_0013,img_0013.png,princesas_y_castillos,ilustracion_plana_color,1523,1920,Rana verde con corona saltando.,Pixabay,grisel,b6f5f85c7cd86dbb40cf2d914f1755935e51c410
grisel_img_0014,img_0014.png,princesas_y_castillos,ilustracion_plana_color,949,1920,Princesa subiendo una escalera de madera.,Pixabay,grisel,f97ff8f4c9d8db08abe6be9364a3dca84ad60db2
grisel_img_0015,img_0015.png,princesas_y_castillos,ilustracion_plana_color,951,1920,Mujer con vestido largo sosteniendo una manzana roja.,Pixabay,grisel,a9c304a646e554ceb7650d4717bede8c8fda16cd
grisel_img_0016,img_0016.png,princesas_y_castillos,ilustracion_plana_color,951,1920,Sirena de cabello blanco nadando bajo el agua.,Pixabay,grisel,8e58e6713d4479efab006dc3f20fc364b812c2b9
grisel_img_0017,img_0017.png,princesas_y_castillos,ilustracion_plana_color,1908,1920,Hada rubia con varita mágica.,Pixabay,grisel,25ebe627c7d628ff5355455349b0908a2569350e
grisel_img_0018,img_0018.png,princesas_y_castillos,ilustracion_plana_color,1920,1440,Castillo colorido entre nubes.,Pixabay,grisel,84b89f97c87e80df19ad71ee8a7ea441b4bb6889
grisel_img_0019,img_0019.png,princesas_y_castillos,ilustracion_plana_color,1920,1440,Castillo de piedra rodeado de árboles otoñales.,Pixabay,grisel,05180b2f8faa10f1547587f38c8e373fcd2248e6
grisel_img_0020,img_0020.png,princesas_y_castillos,ilustracion_plana_color,1920,1440,Castillo oscuro iluminado por la luna entre flores.,Pixabay,grisel,c305b8bd5d51fa0bed965ecc89010610787ff821
grisel_img_0021,img_0021.png,princesas_y_castillos,ilustracion_plana_color,1920,1440,Castillo tenebroso envuelto en niebla.,Pixabay,grisel,f8488d64c8fcd9e3fa24d1a13ef8a0bb6f4605cd
grisel_img_0022,img_0022.png,princesas_y_castillos,ilustracion_plana_color,1920,1920,Princesa con vestido azul claro.,Pixabay,grisel,324cdc850a96f1da8a8e276878b58c072e3fafb7
